method,sigma,n_paths,n_repeats,price,price_std,analytical_price,abs_error,rel_error,runtime_sec
Monte Carlo,0.25,1000,10,13.226674571885757,0.6170116072538107,12.965818262987028,0.26085630889872924,0.020118769491269572,0.0004485000390559435
Monte Carlo,0.25,2500,10,13.128631097384124,0.3759958302680659,12.965818262987028,0.16281283439709604,0.012557081326819992,0.0005374000174924731
Monte Carlo,0.25,5000,10,13.042175660908592,0.27230090884258107,12.965818262987028,0.07635739792156393,0.005889130664397646,0.0007907000835984945
Monte Carlo,0.25,10000,10,12.988980303294216,0.1811300902271876,12.965818262987028,0.023162040307187937,0.0017863924850240753,0.0013466000091284513
Monte Carlo,0.25,25000,10,12.924344040420166,0.11333477974612992,12.965818262987028,0.04147422256686184,0.003198735453917054,0.002951500006020069
Monte Carlo,0.25,50000,10,12.93074473148017,0.08513014356608964,12.965818262987028,0.03507353150685866,0.0027050765941229933,0.008422100101597607
Monte Carlo,0.25,100000,10,12.928111869580912,0.07182155589678936,12.965818262987028,0.03770639340611659,0.002908138355891925,0.013470600009895861
Monte Carlo,0.25,250000,10,12.941884381961064,0.04719411440341469,12.965818262987028,0.02393388102596461,0.0018459213711399646,0.042956900084391236
Monte Carlo,0.25,500000,10,12.964354299488704,0.023004081303777256,12.965818262987028,0.0014639634983240057,0.00011290945689892325,0.08775649999734014
Monte Carlo,0.25,1000000,10,12.95738053965585,0.021388533174637667,12.965818262987028,0.00843772333117876,0.0006507667437592867,0.19063460000324994
