method,n_observations,mae,rmse,max_abs_error,average_runtime_sec,max_runtime_sec
Crank-Nicolson,9,0.024613469310863206,0.04034361797481078,0.09093161273128736,0.10976516670133504,0.48289930005557835
Monte Carlo,10,0.06712782968598816,0.10292675558080965,0.26085630889872924,0.034931540035177025,0.19063460000324994
