sigma,S,pinn_price,analytical_price,abs_error,rel_error,region
0.1,1e-08,-2.0736591815948486,0.0,2.0736591815948486,nan,in_domain
0.1,3.7800000099499997,-2.1635589599609375,1.0354606439159545e-121,2.1635589599609375,nan,in_domain
0.1,7.5600000098999995,-2.244394063949585,6.821140772383503e-77,2.244394063949585,nan,in_domain
0.1,11.34000000985,-2.3137292861938477,1.742135464699121e-55,2.3137292861938477,nan,in_domain
0.1,15.1200000098,-2.3690037727355957,1.9123190637388946e-42,2.3690037727355957,nan,in_domain
0.1,18.90000000975,-2.4073922634124756,1.4847360970780113e-33,2.4073922634124756,nan,in_domain
0.1,22.6800000097,-2.4257898330688477,4.397712673125199e-27,2.4257898330688477,nan,in_domain
0.1,26.46000000965,-2.420872449874878,3.6378886122411855e-22,2.420872449874878,nan,in_domain
0.1,30.2400000096,-2.3890504837036133,2.5814579995173436e-18,2.3890504837036133,nan,in_domain
0.1,34.020000009549996,-2.326458692550659,3.126130863031486e-15,2.3264586925506623,nan,in_domain
0.1,37.800000009499996,-2.228851795196533,1.0116494201375251e-12,2.228851795197545,2203185956350.918,in_domain
0.1,41.580000009449996,-2.0917749404907227,1.1886636089816795e-10,2.091774940609589,17597703208.913742,in_domain
0.1,45.3600000094,-1.9103988409042358,6.303523190022119e-09,1.910398847207759,303068425.3262905,in_domain
0.1,49.14000000935,-1.679557204246521,1.7691403866448744e-07,1.6795573811605597,9493635.405304344,in_domain
0.1,52.9200000093,-1.3937556743621826,2.9616190179199858e-06,1.3937586359812006,470606.9982492447,in_domain
0.1,56.70000000925,-1.0471030473709106,3.2414640297450835e-05,1.047135462011208,32304.398642164088,in_domain
0.1,60.4800000092,-0.633380651473999,0.0002492119988515345,0.6336298634728506,2542.533531261988,in_domain
0.1,64.26000000914999,-0.14604833722114563,0.0014249374385819635,0.1474732746597276,103.49456100085816,in_domain
0.1,68.04000000909998,0.4218766391277313,0.006344807105812533,0.4155318320219188,65.49164144663223,in_domain
0.1,71.82000000904999,1.0777244567871094,0.022844723992929084,1.0548797327941803,46.17607694103407,in_domain
0.1,75.60000000899998,1.8290481567382812,0.06861612483203516,1.760432031906246,25.656243867102564,in_domain
0.1,79.38000000894999,2.6838631629943848,0.17646367650312422,2.5073994864912605,14.209153612680556,in_domain
0.1,83.16000000889998,3.6503124237060547,0.39722166163204164,3.253090762074013,8.189610679106037,in_domain
0.1,86.94000000884999,4.736788749694824,0.7974545549216003,3.939334194773224,4.939885502516829,in_domain
0.1,90.72000000879999,5.951710224151611,1.4510095486472672,4.500700675504344,3.1017719212807475,in_domain
0.1,94.50000000874999,7.303556442260742,2.4264461740527636,4.8771102682079785,2.0099808190107105,in_domain
0.1,98.28000000869999,8.800593376159668,3.7744523124021256,5.026141063757542,1.331621291714988,in_domain
0.1,102.06000000865,10.450725555419922,5.519333912200125,4.931391643219797,0.8934758653248501,in_domain
0.1,105.84000000859999,12.261295318603516,7.656776257501598,4.604519061101918,0.6013652360013417,in_domain
0.1,109.62000000855,14.23878288269043,10.15758596870802,4.08119691398241,0.4017880750953184,in_domain
0.1,113.40000000849999,16.38853645324707,12.975305814670705,3.4132306385763655,0.26305589150100417,in_domain
0.1,117.18000000845,18.71452522277832,16.055016895815243,2.6595083269630777,0.16564967475408146,in_domain
0.1,120.96000000839999,21.21891975402832,19.341124344464163,1.8777954095641576,0.09708822383439265,in_domain
0.1,124.74000000834998,23.901906967163086,22.78290839789024,1.118998569272847,0.049115703303993855,in_domain
0.1,128.5200000083,26.761363983154297,26.33758482961065,0.4237791535436486,0.0160902814850056,in_domain
0.1,132.30000000825,29.79269790649414,29.971264037398385,0.1785661309042439,0.005957911240627944,in_domain
0.1,136.0800000082,32.98879623413086,33.65847370269934,0.6696774685684801,0.019896251817109977,in_domain
0.1,139.86000000815,36.340049743652344,37.3809070207713,1.0408572771189597,0.02784462336723372,in_domain
0.1,143.6400000081,39.83462142944336,41.125908940234126,1.2912875107907666,0.03139839444441992,in_domain
0.1,147.42000000805,43.458560943603516,44.885025102609305,1.4264641590057892,0.031780402389100244,in_domain
0.1,151.200000008,47.19648742675781,48.65277575355549,1.4562883267976758,0.029932276303706103,in_domain
0.1,154.98000000795,51.03205108642578,52.425703598921956,1.3936525124961747,0.026583382135568188,in_domain
0.1,158.7600000079,54.94841384887695,56.201679363444356,1.2532655145674028,0.022299431774321192,in_domain
0.1,162.54000000785,58.92911911010742,59.97941980104895,1.0503006909415262,0.017511017852879566,in_domain
0.1,166.3200000078,62.958251953125,63.7581665071158,0.7999145539908028,0.012546072100450495,in_domain
0.1,170.10000000775,67.02125549316406,67.53747910336399,0.5162236101999298,0.007643513158225313,in_domain
0.1,173.8800000077,71.10496520996094,71.31710592986386,0.21214071990291927,0.0029746120111989274,in_domain
0.1,177.66000000765,75.19808959960938,75.0969052385955,0.10118436101387829,0.0013473838994083518,in_domain
0.1,181.4400000076,79.2911376953125,78.87679823081078,0.41433946450172243,0.005252995478965493,in_domain
0.1,185.22000000755,83.37638854980469,82.6567416204811,0.7196469293235879,0.008706451708777136,in_domain
0.1,189.0000000075,87.44781494140625,86.43671188537834,1.0111030560279062,0.011697611280825974,in_domain
0.1,192.78000000744998,91.50098419189453,90.21669636813914,1.2842878237553919,0.01423558914765305,in_domain
0.1,196.5600000074,95.53275299072266,93.99668831828303,1.5360646724396219,0.016341689265033887,in_domain
0.1,200.34000000735,99.54109191894531,97.77668416463965,1.7644077543056653,0.018045281136090652,in_domain
0.1,204.1200000073,103.52495574951172,101.55668203179289,1.96827371771883,0.019381036071094277,in_domain
0.1,207.90000000725,107.48384094238281,105.33668094139126,2.1471600009915477,0.020383782570349025,in_domain
0.1,211.6800000072,111.41796112060547,109.11668038612117,2.301280734484294,0.021090091142261323,in_domain
0.1,215.46000000715,115.3277587890625,112.8966801043487,2.431078684713796,0.021533659647624596,in_domain
0.1,219.2400000071,119.2140121459961,116.67667996180386,2.5373321841922376,0.02174669509813681,in_domain
0.1,223.02000000705,123.07779693603516,120.4566798898834,2.6211170461517526,0.021759831406177484,in_domain
