method,sigma,epochs,pinn_price_at_S0,analytical_price_at_S0,abs_error,rel_error,runtime_sec,final_loss,value_scale
PINN sigma=0.10,0.1,1000,54.48444366455078,4.518823696840862,49.96561996770992,11.057218276216707,17.22902960004285,0.07936189323663712,110.0
PINN sigma=0.10,0.1,2500,30.604875564575195,4.518823696840862,26.086051867734334,5.772752737835569,38.89876349992119,0.016880333423614502,110.0
PINN sigma=0.10,0.1,5000,9.532027244567871,4.518823696840862,5.013203547727009,1.1094045450880883,77.39661279995926,0.002960195764899254,110.0
PINN sigma=0.25,0.25,1000,58.01195526123047,12.965818262987028,45.04613699824344,3.4742224582026373,15.538548599928617,0.09293947368860245,110.0
PINN sigma=0.25,0.25,2500,32.792877197265625,12.965818262987028,19.827058934278597,1.5291791487528452,38.719532900024205,0.0185005571693182,110.0
PINN sigma=0.25,0.25,5000,13.147521018981934,12.965818262987028,0.18170275599490537,0.014013982944185214,74.70859249995556,0.0018208979163318872,110.0
PINN sigma=0.40,0.4,1000,66.03177642822266,21.296004075842724,44.73577235237993,2.1006650915852463,15.158709399984218,0.11107968538999557,110.0
PINN sigma=0.40,0.4,2500,40.697532653808594,21.296004075842724,19.40152857796587,0.9110407994321401,37.651552099967375,0.02415643259882927,110.0
PINN sigma=0.40,0.4,5000,22.382238388061523,21.296004075842724,1.0862343122187994,0.05100648498893636,69.7913683000952,0.0011891319882124662,110.0
