method,sigma,M,N,grid_size,price,analytical_price,abs_error,rel_error,runtime_sec
Crank-Nicolson,0.25,50,50,50,13.056749875718316,12.965818262987028,0.09093161273128736,0.00701317964565846,0.010206100065261126
Crank-Nicolson,0.25,75,75,75,13.0348959903217,12.965818262987028,0.06907772733467255,0.00532767974481532,0.0022525000385940075
Crank-Nicolson,0.25,100,100,100,13.004139189392546,12.965818262987028,0.03832092640551821,0.002955534747460662,0.004888500086963177
Crank-Nicolson,0.25,150,150,150,12.964933910924149,12.965818262987028,0.000884352062879401,6.820642129497707e-05,0.01709930005017668
Crank-Nicolson,0.25,200,200,200,12.975388538054368,12.965818262987028,0.00957027506733965,0.0007381157805257466,0.027351600001566112
Crank-Nicolson,0.25,250,250,250,12.96977260526617,12.965818262987028,0.003954342279142153,0.00030498208434946575,0.051940999925136566
Crank-Nicolson,0.25,300,300,300,12.960959477000713,12.965818262987028,0.004858785986314729,0.00037473809116890825,0.07695930008776486
Crank-Nicolson,0.25,400,400,400,12.968210543190677,12.965818262987028,0.002392280203649122,0.0001845066894449896,0.31428890000097454
Crank-Nicolson,0.25,500,500,500,12.967349184713994,12.965818262987028,0.0015309217269656727,0.00011807366846533165,0.48289930005557835
